序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,型式,所在地區
1,4157A,1,4157,9938,303751.848,2778085.161,地下式消防栓,台北市士林區三玉里
2,4157A,10,4157,10279,303841.629,2778214.519,地下式消防栓,台北市士林區三玉里
3,4157A,13,4157,5628,303835.516,2778236.653,地下式消防栓,台北市士林區三玉里
4,4157A,14,4157,7632,303857.609,2778126.473,地下式消防栓,台北市士林區三玉里
5,4157A,15,4157,9699,303899.583,2778131.947,地下式消防栓,台北市士林區三玉里
6,4157A,16,4157,7580,303903.769,2778119.315,地下式消防栓,台北市士林區三玉里
7,4157A,2,4157,155,303677.434,2778094.776,地下式消防栓,台北市士林區三玉里
8,4157A,20,4157,2395,303834.886,2778240.1,地下式消防栓,台北市士林區三玉里
9,4157A,21,4157,4237,303877.16,2778237.492,地下式消防栓,台北市士林區三玉里
10,4157A,25,4157,2502,303877.622,2778063.48,地下式消防栓,台北市士林區三玉里
11,4157A,27,4157,4943,303889.719,2778174.929,地下式消防栓,台北市士林區三玉里
12,4157A,28,4157,7171,303734.741,2778167.925,地下式消防栓,台北市士林區三玉里
13,4157A,29,4157,1370,303794.424,2778133.085,地下式消防栓,台北市士林區三玉里
14,4157A,3,4157,10068,303884.325,2778208,地下式消防栓,台北市士林區三玉里
15,4157A,30,4157,5308,303677.604,2778030.057,地下式消防栓,台北市士林區三玉里
16,4157A,31,4157,2023,303948.5,2778147.267,地下式消防栓,台北市士林區三玉里
17,4157A,32,4157,4247,303765.912,2778028.041,地下式消防栓,台北市士林區三玉里
18,4157A,33,4157,831,303817.294,2778077.012,地下式消防栓,台北市士林區三玉里
19,4157A,34,4157,3449,303770.692,2778008.782,地下式消防栓,台北市士林區三玉里
20,4157A,6,4157,882,303925.349,2778204.78,地下式消防栓,台北市士林區三玉里
21,4157A,7,4157,4167,303881.82,2778299.074,地下式消防栓,台北市士林區三玉里
22,4157A,8,4157,5525,303718.374,2778262.619,地下式消防栓,台北市士林區三玉里
23,4157A,9,4157,4190,303637.194,2778052.381,地下式消防栓,台北市士林區三玉里
24,4157B,9,4157,7223,303665.9,2777973.421,地下式消防栓,台北市士林區三玉里
25,4157C,1,4157,783,303436.216,2777923.358,地下式消防栓,台北市士林區三玉里
26,4157C,16,4157,4174,303427.926,2777870.627,地下式消防栓,台北市士林區三玉里
27,4157C,17,4157,10052,303597.601,2777997.796,地下式消防栓,台北市士林區三玉里
28,4157C,21,4157,10073,303510.086,2777975.53,地下式消防栓,台北市士林區三玉里
29,4157C,27,4157,4620,303474.285,2777989.298,地下式消防栓,台北市士林區三玉里
30,4157C,28,4157,3901,303521.176,2777907.866,地下式消防栓,台北市士林區三玉里
31,4157C,4,4157,10349,303429.204,2777994.683,地下式消防栓,台北市士林區三玉里
32,4157C,40,4157,12343,303469.605,2777911.887,地上式消防栓,台北市士林區三玉里
33,4157C,43,4157,2852,303369.41,2777917.391,地下式消防栓,台北市士林區三玉里
