Year,24M,24F,29M,29F,34M,34F,39M,39F,44M,44F,49M,49F,54M,54F,59M,59F,64M,64F,69M,69F
2006,10.5,7.9,6.2,4.8,4.3,2.9,2.5,2.2,3,2.9,1.6,2.4,3.8,1.5,1.8,4.7,1.9,0.5,0.7,3.4
2007,9,9,6,4.9,4.3,3.6,2.3,2.1,3.1,2.9,2.1,2.1,2.9,1.9,2.7,4.1,1.6,0.6,0.9,2.4
2008,12.5,10.6,6.6,5.3,3.9,2.8,2.7,1.8,2.6,2.2,2.9,2.3,3.6,2.8,2.8,3.1,1.7,0,1,0
2009,16.5,11.5,10,7.3,6.1,4.7,5,3,5.8,3.3,4.1,4.5,4.6,3,5,1.7,3.2,1.9,0.1,0
2010,12.6,10.1,8.7,6.1,6.9,4.2,4.4,3.5,5.4,2.9,4.9,2.9,4.6,2.9,2.6,2.7,1.1,0.5,0,0
2011,12.2,10.7,7.7,5.7,4.8,3.4,4.6,2.6,4,2.4,3.7,1.9,2.5,2,3.5,0.9,1,0.5,0,0
2012,13.3,10.3,7.5,5.3,4.6,3.9,3.9,2.5,4,2.3,3.3,2.1,3.1,1.3,2.2,1,2.3,0.5,0,1.4
2013,11,8.8,7.4,6.2,5.1,3.3,4.7,4,2.8,1.9,3.7,1.9,2.7,1.6,1.8,2,2.7,2.3,0,0
2014,11.4,9.7,8.4,6.5,4.4,3.1,3.5,2.7,3.8,2.3,2.5,1.8,2.2,2.2,2,2.1,1.1,2.2,0.1,0.5
2015,10.9,9.5,6.5,6.3,4.1,3.8,3.2,3.3,3,1.3,2.9,1.9,3.2,2.3,1.2,1.2,0.7,4,0,0
